ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,03/06/2021,ECONOMY DIRECTORATE,EVOLUTION AUTOMATIC DOORS LTD,03/06/2021,130,ELECTRICAL,V001673377
ROCHDALE BOROUGH COUNCIL,24/06/2021,PROPERTY AND HIGHWAYS,TASC LTD,24/06/2021,480,TRAINING,V001678974
ROCHDALE BOROUGH COUNCIL,24/06/2021,PROPERTY AND HIGHWAYS,TASC LTD,24/06/2021,-432.15,TRAINING,V001679328
ROCHDALE BOROUGH COUNCIL,24/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,TASC LTD,24/06/2021,2475,TRAINING-QUALIFICATION,V001679679
ROCHDALE BOROUGH COUNCIL,14/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,14/06/2021,38.02,PRINTING & STATIONERY,V001679698
ROCHDALE BOROUGH COUNCIL,07/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,07/06/2021,305.32,EQUIPMENT - GENERAL,V001679699
ROCHDALE BOROUGH COUNCIL,07/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,07/06/2021,64.95,EQUIPMENT - GENERAL,V001679699
ROCHDALE BOROUGH COUNCIL,14/06/2021,CHILDREN’S SOCIAL CARE,BEYOND PSYCHOLOGY LTD,14/06/2021,760,FEES / COMMISSION,V001683061
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,CARRICK SIGNS LTD,07/06/2021,205,PRINTING,V001683283
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,CARRICK SIGNS LTD,07/06/2021,90,PRINTING,V001683283
ROCHDALE BOROUGH COUNCIL,03/06/2021,ADULT CARE LCO FUNCTIONS,LANCASHIRE LOCK AND SAFE COMPANY LIMITED,03/06/2021,90,REPAIRS & ALTS OF BUILDINGS,V001688575
ROCHDALE BOROUGH COUNCIL,02/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,02/06/2021,11.95,EQUIPMENT - GENERAL,V001688869
ROCHDALE BOROUGH COUNCIL,07/06/2021,CHILDREN’S SOCIAL CARE,PANORAMIC ASSOCIATES LTD,07/06/2021,2375,AGENCY STAFF,V001688874
ROCHDALE BOROUGH COUNCIL,02/06/2021,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,02/06/2021,3.69,ARTS & CRAFTS,V001689474
ROCHDALE BOROUGH COUNCIL,02/06/2021,EARLY HELP AND SCHOOLS,FINDEL EDUCATION LIMITED,02/06/2021,0.5,ARTS & CRAFTS,V001689474
ROCHDALE BOROUGH COUNCIL,04/06/2021,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,04/06/2021,11928,OTHER LA`S - SEN PROVISION,V001690342
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,11/06/2021,199.96,EQUIPMENT - GENERAL,V001690498
ROCHDALE BOROUGH COUNCIL,11/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,11/06/2021,340.03,PRINTING & STATIONERY,V001690767
ROCHDALE BOROUGH COUNCIL,11/06/2021,CHILDREN’S SOCIAL CARE,PARADIGM PROFESSIONAL CONSULTANCY LTD,11/06/2021,1463.98,AGENCY STAFF,V001690789
ROCHDALE BOROUGH COUNCIL,10/06/2021,EARLY HELP AND SCHOOLS,ABC INDUSTRIAL DOORS LTD,10/06/2021,150.5,ELECTRICAL,V001692287
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,BAKER ROSS LTD,01/06/2021,93.75,EQUIPMENT - GENERAL,V001692638
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,07/06/2021,54,CONSUMABLES,V001692642
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,33.76,CONSUMABLES,V001692710
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,39,CONSUMABLES,V001692710
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,43.1,CLEANING MATERIALS,V001692710
ROCHDALE BOROUGH COUNCIL,11/06/2021,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,11/06/2021,28.68,CONSUMABLES,V001692710
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,3.48,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,5.4,CLEANING EQUIPMENT,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,5.4,CLEANING EQUIPMENT,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,1.01,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,11.4,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,14.1,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,30.2,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,8.35,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,14.76,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,29.8,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,1.23,CONSUMABLES,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,3.59,CONSUMABLES,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,46,CLEANING EQUIPMENT,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,7.28,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PATTERSONS BRISTOL LTD,08/06/2021,26.52,CLEANING MATERIALS,V001693943
ROCHDALE BOROUGH COUNCIL,09/06/2021,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,09/06/2021,90,TRANSLATION & INTERPRETATION,V001694982
ROCHDALE BOROUGH COUNCIL,07/06/2021,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,07/06/2021,95.62,TRANSLATION & INTERPRETATION,V001695032
ROCHDALE BOROUGH COUNCIL,03/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,EARLEY ORNAMENTALS LTD,03/06/2021,55.81,"TREES, SHRUBS, PLANTS",V001698982
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,CARRICK SIGNS LTD,07/06/2021,33.5,PRINTING,V001699024
ROCHDALE BOROUGH COUNCIL,07/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,CARRICK SIGNS LTD,07/06/2021,33.5,PRINTING,V001699024
ROCHDALE BOROUGH COUNCIL,09/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,AQUACOOL LTD,09/06/2021,8,PTA FUNDED PURCHASES,V001699093
ROCHDALE BOROUGH COUNCIL,09/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,AQUACOOL LTD,09/06/2021,13,PTA FUNDED PURCHASES,V001699093
ROCHDALE BOROUGH COUNCIL,17/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,EARLEY ORNAMENTALS LTD,17/06/2021,1868.87,"TREES, SHRUBS, PLANTS",V001699300
ROCHDALE BOROUGH COUNCIL,11/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,J A JONES AND SONS CHURCHTOWN LTD,11/06/2021,540,"TREES, SHRUBS, PLANTS",V001700391
ROCHDALE BOROUGH COUNCIL,07/06/2021,CHILDREN’S SOCIAL CARE,PARADIGM PROFESSIONAL CONSULTANCY LTD,07/06/2021,1224.5,AGENCY STAFF,V001700898
ROCHDALE BOROUGH COUNCIL,08/06/2021,CHILDREN’S SOCIAL CARE,PARADIGM PROFESSIONAL CONSULTANCY LTD,08/06/2021,1167.75,AGENCY STAFF,V001701235
ROCHDALE BOROUGH COUNCIL,03/06/2021,RESOURCES,TEACRATE RENTALS LTD,03/06/2021,24.64,EXPENSES - GENERAL,V001701365
ROCHDALE BOROUGH COUNCIL,04/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,JONES AND BROOKS LTD,04/06/2021,44,PRINTING,V001701378
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,HOWARTH TIMBER AND BUILDING SUPPLIES LTD,01/06/2021,50.53,ADAPTATIONS,V001703516
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,HOWARTH TIMBER AND BUILDING SUPPLIES LTD,01/06/2021,10.49,ADAPTATIONS,V001703518
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,HOWARTH TIMBER AND BUILDING SUPPLIES LTD,01/06/2021,8.81,ADAPTATIONS,V001703521
ROCHDALE BOROUGH COUNCIL,17/06/2021,PUBLIC HEALTH,SH24,17/06/2021,311.48,PH OTHER CONTRACTS,V001703583
ROCHDALE BOROUGH COUNCIL,30/06/2021,RESOURCES,BANNER GROUP LIMITED,30/06/2021,53.64,ELECTION MATERIALS,V001703703
ROCHDALE BOROUGH COUNCIL,03/06/2021,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/06/2021,796.11,FOSTER PARENTS BASIC ALLOWANCE,V001703792
ROCHDALE BOROUGH COUNCIL,18/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,18/06/2021,95.98,ACTIVITIES,V001703849
ROCHDALE BOROUGH COUNCIL,18/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,18/06/2021,95.98,ACTIVITIES,V001703849
ROCHDALE BOROUGH COUNCIL,18/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,18/06/2021,95.98,ACTIVITIES,V001703849
ROCHDALE BOROUGH COUNCIL,08/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,THE PROTON GROUP LIMITED,08/06/2021,247.42,CLEANING MATERIALS,V001704648
ROCHDALE BOROUGH COUNCIL,22/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,HILTON CABINET CO LTD,22/06/2021,73.06,MATERIAL - GENERAL,V001704691
ROCHDALE BOROUGH COUNCIL,30/06/2021,RESOURCES,CATS SOLUTIONS,30/06/2021,37.82,PRINTING & STATIONERY,V001704733
ROCHDALE BOROUGH COUNCIL,08/06/2021,PROPERTY AND HIGHWAYS,J C MILLS & SON LIMITED,08/06/2021,60,REPAIRS & ALTS OF BUILDINGS,V001704739
ROCHDALE BOROUGH COUNCIL,25/06/2021,PROPERTY AND HIGHWAYS,J C MILLS & SON LIMITED,25/06/2021,60,CENTRAL HEATING,V001704740
ROCHDALE BOROUGH COUNCIL,11/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,GRAFFIC  DETAIL,11/06/2021,90,CONTRACTED SERVICES,V001704761
ROCHDALE BOROUGH COUNCIL,22/06/2021,CHILDREN’S SOCIAL CARE,UK MILITARY MENTORS LTD,22/06/2021,450,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001705217
ROCHDALE BOROUGH COUNCIL,03/06/2021,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/06/2021,776.23,FOSTER PARENTS BASIC ALLOWANCE,V001705227
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,WHISTL UK LTD,01/06/2021,904.13,TRANSACTIONS-EXPENDITURE,V001705271
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,ROUTES HEALTHCARE NORTH LTD,01/06/2021,129.44,HOME CARE - ADULT SERVICES,V001705272
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,POWNALL PLANT LTD,01/06/2021,35957.43,ENVIRONMENTAL WORKS LANDSCAPE,V001705273
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,01/06/2021,783.18,OTHER LA`S - SEN PROVISION,V001705274
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ROBERT ACTON PRODUCT DEVELOPMENT,01/06/2021,720,EQUIPMENT - GENERAL,V001705276
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ROBERT ACTON PRODUCT DEVELOPMENT,01/06/2021,720,EQUIPMENT - GENERAL,V001705276
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ROBERT ACTON PRODUCT DEVELOPMENT,01/06/2021,12.5,EQUIPMENT - GENERAL,V001705276
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ROBERT ACTON PRODUCT DEVELOPMENT,01/06/2021,12.5,EQUIPMENT - GENERAL,V001705276
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,FRANK WHITTLE PARTNERSHIP LTD,01/06/2021,1920,CONSULTANTS FEES,V001705278
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,FRANK WHITTLE PARTNERSHIP LTD,01/06/2021,3500,CONSULTANTS FEES,V001705279
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,FRANK WHITTLE PARTNERSHIP LTD,01/06/2021,3480,CONSULTANTS FEES,V001705280
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,APEX RADIO SYSTEMS LTD,01/06/2021,75,LICENCE,V001705282
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,CYGNET NW LTD,01/06/2021,477,OTHER EST - SEN PROVISION,V001705285
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,APEX RADIO SYSTEMS LTD,01/06/2021,20,LICENCE,V001705286
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,XMA LIMITED,01/06/2021,509.7,EQUIPMENT - GENERAL,V001705287
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,XMA LIMITED,01/06/2021,764.55,EQUIPMENT - GENERAL,V001705287
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,XMA LIMITED,01/06/2021,1645.02,EQUIPMENT - GENERAL,V001705288
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,KILLGERM CHEMICALS LIMITED,01/06/2021,123,EQUIPMENT - GENERAL,V001705289
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,KILLGERM CHEMICALS LIMITED,01/06/2021,21.3,EQUIPMENT - GENERAL,V001705289
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,KILLGERM CHEMICALS LIMITED,01/06/2021,70,EQUIPMENT - GENERAL,V001705290
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,KILLGERM CHEMICALS LIMITED,01/06/2021,60,EQUIPMENT - GENERAL,V001705290
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,SHRED STATION,01/06/2021,31,DISPOSAL OF CONFIDENTIAL EQUIPMENT AND W,V001705291
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,S HALLIWELL LANDSCAPES LTD,01/06/2021,743.82,SPECIFIED MAINTENANCE,V001705292
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,THE OYSTER PARTNERSHIP LTD,01/06/2021,1635.38,AGENCY STAFF,V001705293
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,THE OYSTER PARTNERSHIP LTD,01/06/2021,60,ACTIVITIES,V001705294
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,THE OYSTER PARTNERSHIP LTD,01/06/2021,195,ACTIVITIES,V001705294
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,THE OYSTER PARTNERSHIP LTD,01/06/2021,385,ACTIVITIES,V001705295
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,THE OYSTER PARTNERSHIP LTD,01/06/2021,100,ACTIVITIES,V001705295
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,TALBOT AND DAUGHTERS RESTORATION PROJECT,01/06/2021,3000,CONSULTANTS FEES,V001705296
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,TALBOT AND DAUGHTERS RESTORATION PROJECT,01/06/2021,900,CONSULTANTS FEES,V001705297
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,ROYAL MAIL GROUP LTD,01/06/2021,98.51,POSTAGE,V001705301
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,ROYAL MAIL GROUP LTD,01/06/2021,83.19,POSTAGE,V001705302
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,H2O FLOWTECH LTD,01/06/2021,382,MINOR BUILDING WORKS,V001705305
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,TRAVIS PERKINS TRADING CO LTD,01/06/2021,132.67,EQUIPMENT - GENERAL,V001705316
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,TRAVIS PERKINS TRADING CO LTD,01/06/2021,16.8,EQUIPMENT - GENERAL,V001705317
ROCHDALE BOROUGH COUNCIL,01/06/2021,CHILDREN’S SOCIAL CARE,CRESTA WORLD TRAVEL LIMITED,01/06/2021,70.2,PUBLIC TRANSPORT,V001705333
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,STANNAH LIFT SERVICES LTD,01/06/2021,55,TRANSACTIONS-EXPENDITURE,V001705334
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,01/06/2021,60114,PURCHASE OF ICT HARDWARE,V001705339
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,2850,MINOR BUILDING WORKS,V001705340
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,XMA LIMITED,01/06/2021,25,MINOR BUILDING WORKS,V001705341
ROCHDALE BOROUGH COUNCIL,01/06/2021,CHILDREN’S SOCIAL CARE,XMA LIMITED,01/06/2021,189.07,IT EQUIPMENT,V001705342
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,01/06/2021,45,IT EQUIPMENT,V001705343
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,01/06/2021,683.76,IT EQUIPMENT,V001705344
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,XMA LIMITED,01/06/2021,14.3,IT EQUIPMENT,V001705345
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,45.92,IT EQUIPMENT,V001705346
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,136.29,IT EQUIPMENT,V001705347
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,151.98,IT EQUIPMENT,V001705348
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,75,IT EQUIPMENT,V001705348
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,20,IT EQUIPMENT,V001705348
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,XMA LIMITED,01/06/2021,299.75,IT EQUIPMENT,V001705349
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,XMA LIMITED,01/06/2021,134.75,IT EQUIPMENT,V001705350
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,XMA LIMITED,01/06/2021,75,IT EQUIPMENT,V001705350
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,XMA LIMITED,01/06/2021,20,IT EQUIPMENT,V001705350
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,146.28,IT EQUIPMENT,V001705351
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,75,IT EQUIPMENT,V001705351
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,XMA LIMITED,01/06/2021,20,IT EQUIPMENT,V001705351
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,PJ COMBUSTION SOLUTIONS LTD,01/06/2021,8065,SPECIFIED MAINTENANCE,V001705365
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,ADT FIRE & SECURITY PLC,01/06/2021,153.27,SECURITY,V001705366
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,EDWARD HANNAM LTD,01/06/2021,1315,REPAIRS & ALTS OF BUILDINGS,V001705367
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,RANDSTAD EDUCATION,01/06/2021,15000,INDEPENDENT UNITS,V001705372
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,TUNSTALL HEALTHCARE (UK) LTD,01/06/2021,1500,PURCHASE OF FURNITURE AND EQUIPMENT,V001705373
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,TUNSTALL HEALTHCARE (UK) LTD,01/06/2021,400,PURCHASE OF FURNITURE AND EQUIPMENT,V001705373
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,01/06/2021,82.48,PRINTING & STATIONERY,V001705374
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,01/06/2021,19.8,PRINTING & STATIONERY,V001705375
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,01/06/2021,1288.4,CONSUMABLES,V001705376
ROCHDALE BOROUGH COUNCIL,01/06/2021,EARLY HELP AND SCHOOLS,ROSS CARE,01/06/2021,9969.17,EQUIPMENT - GENERAL,V001705377
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,ROYAL MAIL GROUP LTD,01/06/2021,95.9,POSTAGE,V001705378
ROCHDALE BOROUGH COUNCIL,01/06/2021,ADULT CARE LCO FUNCTIONS,ROYAL MAIL GROUP LTD,01/06/2021,81.24,POSTAGE,V001705379
ROCHDALE BOROUGH COUNCIL,01/06/2021,ECONOMY DIRECTORATE,WSP LTD UK,01/06/2021,3443,PLANNING FEES,V001705380
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,SURVEY SYSTEMS LIMITED,01/06/2021,5990,MINOR BUILDING WORKS,V001705468
ROCHDALE BOROUGH COUNCIL,01/06/2021,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,01/06/2021,375,PROPERTY - WORKS ELEMENT,V001705472
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,G AND A TAYLOR HOTELS LTD,01/06/2021,4674.38,ACCOMMODATION,V001705473
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,G AND A TAYLOR HOTELS LTD,01/06/2021,118.5,ACCOMMODATION,V001705473
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,G AND A TAYLOR HOTELS LTD,01/06/2021,474.41,ACCOMMODATION,V001705473
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,UK TELEMATICS LTD,01/06/2021,3626.37,WEAR AND TEAR,V001705496
ROCHDALE BOROUGH COUNCIL,04/06/2021,RESOURCES,SPIN PRINT SOLUTIONS,04/06/2021,298,PRINTING & STATIONERY,V001705506
ROCHDALE BOROUGH COUNCIL,30/06/2021,RESOURCES,BANNER GROUP LIMITED,30/06/2021,442.51,ELECTION MATERIALS,V001705512
ROCHDALE BOROUGH COUNCIL,03/06/2021,RESOURCES,TEACRATE RENTALS LTD,03/06/2021,24.64,EXPENSES - GENERAL,V001705513
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,HENDHAM HOTEL LTD,01/06/2021,3591,ACCOMMODATION,V001705569
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,247 HOTEL,01/06/2021,1333.7,ACCOMMODATION,V001705618
ROCHDALE BOROUGH COUNCIL,01/06/2021,NEIGHBOURHOODS AND ENVIRONMENT,247 HOTEL,01/06/2021,4001.06,ACCOMMODATION,V001705618
